Release Date,Time,Actual,Forecast,Previous,
"Dec 01, 1984 (Nov)",05:00,-6.00, ,-9.00,
"Nov 01, 1984 (Oct)",05:00,-9.00, ,-8.00,
"Oct 01, 1984 (Sep)",05:00,-8.00, ,-10.00,
"Sep 01, 1984 (Aug)",05:00,-10.00, ,-10.00,
"Aug 01, 1984 (Jul)",05:00,-10.00, ,-4.00,
"Jul 01, 1984 (Jun)",05:00,-4.00, ,-1.00,
"Jun 01, 1984 (May)",05:00,-1.00, ,-2.00,
"May 01, 1984 (Apr)",05:00,-2.00, ,-4.00,
"Apr 01, 1984 (Mar)",05:00,-4.00, ,-1.00,
"Mar 01, 1984 (Feb)",05:00,-1.00, ,2.00,
"Feb 01, 1984 (Jan)",05:00,2.00, ,-2.00,
"Jan 01, 1984 (Dec)",05:00,-2.00, ,-3.00,
"Dec 01, 1983 (Nov)",05:00,-3.00, ,-2.00,
"Nov 01, 1983 (Oct)",05:00,-2.00, ,-1.00,
"Oct 01, 1983 (Sep)",05:00,-1.00, ,1.00,
"Sep 01, 1983 (Aug)",05:00,1.00, ,-1.00,
"Aug 01, 1983 (Jul)",05:00,-1.00, ,2.00,
"Jul 01, 1983 (Jun)",05:00,2.00, ,3.00,
"Jun 01, 1983 (May)",05:00,3.00, ,-2.00,
"May 01, 1983 (Apr)",05:00,-2.00, ,-4.00,
"Apr 01, 1983 (Mar)",05:00,-4.00, ,-9.00,
"Mar 01, 1983 (Feb)",05:00,-9.00, ,-5.00,
"Feb 01, 1983 (Jan)",05:00,-5.00, ,-10.00,
"Jan 01, 1983 (Dec)",05:00,-10.00, ,-4.00,
"Dec 01, 1982 (Nov)",05:00,-4.00, ,-7.00,
"Nov 01, 1982 (Oct)",05:00,-7.00, ,-9.00,
"Oct 01, 1982 (Sep)",05:00,-9.00, ,-7.00,
"Sep 01, 1982 (Aug)",05:00,-7.00, ,-8.00,
"Aug 01, 1982 (Jul)",05:00,-8.00, ,-3.00,
